sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-05-06T10:50:08.576768,ryu,Star_4nodes_10M,4,star,10M,49078.64,0.085,0.0,1.0,0.075,0.15,33.31,30.64,1.0,0.8831,0.9733,0.9752,ryu,0.0498,hybrid_p95,CONTROLLER
2,1,2026-05-06T10:51:32.754487,floodlight,Star_4nodes_10M,4,star,10M,47256.95,0.074,0.0,1.0,0.076,30.17,373.61,36.61,1.0,0.5793,0.9684,0.9162,ryu,0.0498,hybrid_p95,CONTROLLER
3,1,2026-05-06T10:54:00.450055,onos,Star_4nodes_10M,4,star,10M,48055.6,2.837,0.0,1.0,9.27,12.23,791.71,44.89,1.0,0.6895,0.8235,0.9254,ryu,0.0498,hybrid_p95,CONTROLLER
4,1,2026-05-06T10:55:23.103509,ryu,Tree_D2_F2_50M,2,tree,50M,44683.94,0.107,0.0,1.0,0.115,0.55,33.57,33.83,1.0,0.8798,0.9701,0.9743,ryu,0.0628,hybrid_p95,CONTROLLER
5,1,2026-05-06T10:56:47.933804,floodlight,Tree_D2_F2_50M,2,tree,50M,43070.09,0.081,0.0,1.0,0.081,32.82,410.9,39.26,1.0,0.5563,0.9661,0.9115,ryu,0.0628,hybrid_p95,CONTROLLER
6,1,2026-05-06T10:59:16.338687,onos,Tree_D2_F2_50M,2,tree,50M,42898.09,3.039,0.0,1.0,10.867,24.84,948.91,41.36,1.0,0.5888,0.8025,0.9043,ryu,0.0628,hybrid_p95,CONTROLLER
7,1,2026-05-06T11:00:38.732911,ryu,Linear_4nodes_10M,4,linear,10M,47011.93,0.097,0.0,1.0,0.125,0.28,33.43,32.93,1.0,0.882,0.9707,0.9748,ryu,0.0491,hybrid_p95,CONTROLLER
8,1,2026-05-06T11:02:03.292061,floodlight,Linear_4nodes_10M,4,linear,10M,44759.07,0.08,0.0,1.0,0.078,32.86,348.54,38.11,1.0,0.5614,0.9671,0.9126,ryu,0.0491,hybrid_p95,CONTROLLER
9,1,2026-05-06T11:04:31.359182,onos,Linear_4nodes_10M,4,linear,10M,44763.0,2.051,0.0,1.0,7.242,13.85,812.0,41.5,1.0,0.6765,0.8568,0.9257,ryu,0.0491,hybrid_p95,CONTROLLER
10,1,2026-05-06T11:06:23.267590,ryu,Mesh_4nodes_10M,4,mesh,10M,31479.69,0.091,0.0,1.0,0.015,0.42,35.22,51.72,1.0,0.8793,0.9567,0.9731,ryu,0.0621,hybrid_p95,CONTROLLER
11,1,2026-05-06T11:08:17.399705,floodlight,Mesh_4nodes_10M,4,mesh,10M,31618.39,0.086,0.0,1.0,0.015,32.56,397.21,56.8,1.0,0.5593,0.9524,0.911,ryu,0.0621,hybrid_p95,CONTROLLER
12,1,2026-05-06T11:10:46.455606,onos,Mesh_4nodes_10M,4,mesh,10M,46775.26,3.038,0.0,1.0,10.811,21.0,831.9,60.69,1.0,0.622,0.7873,0.9094,ryu,0.0621,hybrid_p95,CONTROLLER
13,1,2026-05-06T11:12:38.292090,ryu,Ring_4nodes_10M,4,ring,10M,35993.76,0.085,0.0,1.0,0.013,0.47,35.43,44.34,1.0,0.8787,0.9629,0.9735,ryu,0.0648,hybrid_p95,CONTROLLER
14,1,2026-05-06T11:14:32.273165,floodlight,Ring_4nodes_10M,4,ring,10M,34794.99,0.076,0.0,1.0,0.017,34.54,379.22,52.64,1.0,0.546,0.9559,0.9087,ryu,0.0648,hybrid_p95,CONTROLLER
15,1,2026-05-06T11:17:01.262155,onos,Ring_4nodes_10M,4,ring,10M,45198.79,2.641,0.0,1.0,9.371,30.13,795.9,49.72,1.0,0.5549,0.818,0.899,ryu,0.0648,hybrid_p95,CONTROLLER
