sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-05-07T16:33:30.846909,ryu,Star_4n_10M,4,star,10M,17414.92,0.114,0.0,1.0,0.084,0.19,45.52,34.33,1.0,0.8728,0.9701,0.973,ryu,0.0719,hybrid_p95,CONTROLLER
2,1,2026-05-07T16:34:56.645777,floodlight,Star_4n_10M,4,star,10M,15221.09,0.079,0.0,1.0,0.07,40.69,331.42,44.81,1.0,0.5042,0.9616,0.9011,ryu,0.0719,hybrid_p95,CONTROLLER
3,1,2026-05-07T16:37:26.511868,onos,Star_4n_10M,4,star,10M,17402.14,5.014,0.0,1.0,16.889,38.43,698.33,40.63,1.0,0.4968,0.7128,0.879,ryu,0.0719,hybrid_p95,CONTROLLER
4,1,2026-05-07T16:38:49.860411,ryu,Star_4n_20M,4,star,20M,16951.0,0.105,0.0,1.0,0.078,0.22,33.3,33.7,1.0,0.8825,0.9707,0.9749,ryu,0.0692,hybrid_p95,CONTROLLER
5,1,2026-05-07T16:40:15.569558,floodlight,Star_4n_20M,4,star,20M,16704.54,0.13,0.0,1.0,0.218,39.56,320.1,43.01,1.0,0.5138,0.9609,0.9029,ryu,0.0692,hybrid_p95,CONTROLLER
6,1,2026-05-07T16:42:45.088069,onos,Star_4n_20M,4,star,20M,17386.77,5.328,0.0,1.0,18.349,18.53,719.57,42.72,1.0,0.6453,0.6892,0.9057,ryu,0.0692,hybrid_p95,CONTROLLER
7,1,2026-05-07T16:44:08.392862,ryu,Star_4n_50M,4,star,50M,17464.35,0.09,0.0,1.0,0.049,0.28,33.3,36.74,1.0,0.8821,0.9686,0.9746,ryu,0.0577,hybrid_p95,CONTROLLER
8,1,2026-05-07T16:45:34.102941,floodlight,Star_4n_50M,4,star,50M,16822.03,0.087,0.0,1.0,0.072,33.72,314.9,38.6,1.0,0.5582,0.9668,0.912,ryu,0.0577,hybrid_p95,CONTROLLER
9,1,2026-05-07T16:48:03.525956,onos,Star_4n_50M,4,star,50M,17470.21,4.67,0.0,1.0,15.823,13.25,666.31,44.83,1.0,0.6875,0.7253,0.9169,ryu,0.0577,hybrid_p95,CONTROLLER
10,1,2026-05-07T16:49:26.931415,ryu,Star_4n_100M,4,star,100M,17288.16,0.108,0.0,1.0,0.109,0.17,33.3,32.75,1.0,0.8829,0.9711,0.975,ryu,0.0613,hybrid_p95,CONTROLLER
11,1,2026-05-07T16:50:52.713964,floodlight,Star_4n_100M,4,star,100M,16326.78,0.101,0.0,1.0,0.107,33.12,379.4,36.51,1.0,0.5566,0.968,0.9118,ryu,0.0613,hybrid_p95,CONTROLLER
12,1,2026-05-07T16:53:21.819138,onos,Star_4n_100M,4,star,100M,17286.81,4.611,0.0,1.0,15.572,15.12,734.7,46.59,1.0,0.6702,0.7276,0.9137,ryu,0.0613,hybrid_p95,CONTROLLER
