sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-05-13T16:42:04.856090,ryu,star,8,star,5M,46221.06,0.07,0.0,1.0,0.015,0.07,39.1,23.81,1.0,0.8785,0.9799,0.9749,ryu,0.1293,hybrid_p95,CONTROLLER
2,1,2026-05-13T16:43:29.436100,floodlight,star,8,star,5M,40493.89,0.074,0.0,1.0,0.045,33.19,315.56,25.89,0.906,0.5621,0.9778,0.8456,ryu,0.1293,hybrid_p95,CONTROLLER
3,1,2026-05-13T16:46:02.987605,onos,star,8,star,5M,41981.8,0.428,0.0,1.0,0.916,7.68,780.45,14.77,0.5794,0.7241,0.974,0.6401,ryu,0.1293,hybrid_p95,CONTROLLER
4,1,2026-05-13T16:47:25.523890,ryu,linear_4n_50M,4,linear,50M,39190.3,0.076,0.0,1.0,0.013,0.31,33.41,16.74,0.764,0.8818,0.9859,0.8052,floodlight,0.0223,hybrid_p95,CONTROLLER
5,1,2026-05-13T16:48:55.279216,floodlight,linear_4n_50M,4,linear,50M,37923.92,0.064,0,1.0,0.011,47.57,340.13,21.08,0.91,0.4517,0.9823,0.8275,floodlight,0.0223,hybrid_p95,CONTROLLER
6,1,2026-05-13T16:51:28.504452,onos,linear_4n_50M,4,linear,50M,39147.55,0.082,0.0,1.0,0.019,27.79,753.6,19.53,0.643,0.5742,0.9834,0.6579,floodlight,0.0223,hybrid_p95,CONTROLLER
7,1,2026-05-13T16:52:52.745843,ryu,tree,16,tree,60M,34792.71,0.087,0.0,0.994,0.018,1.97,34.18,20.98,0.7607,0.8686,0.9822,0.7999,floodlight,0.0888,hybrid_p95,CONTROLLER
8,1,2026-05-13T16:54:24.344537,floodlight,tree,16,tree,60M,34257.88,0.081,0.0,0.994,0.015,38.81,395.52,22.56,0.9784,0.5125,0.981,0.8887,floodlight,0.0888,hybrid_p95,CONTROLLER
9,1,2026-05-13T16:56:58.566298,onos,tree,16,tree,60M,32157.55,0.09,0.0,0.994,0.011,19.39,839.9,18.74,0.5527,0.6338,0.9842,0.6041,floodlight,0.0888,hybrid_p95,CONTROLLER
10,1,2026-05-13T16:58:50.635285,ryu,ring,4,ring,100M,33974.26,0.109,0.0,1.0,0.02,0.51,35.44,13.72,0.591,0.8784,0.9883,0.6794,onos,0.0946,hybrid_p95,CONTROLLER
11,1,2026-05-13T17:00:44.924663,floodlight,ring,4,ring,100M,30239.21,0.076,0.0,1.0,0.007,30.96,427.51,13.43,0.8898,0.569,0.9887,0.8361,onos,0.0946,hybrid_p95,CONTROLLER
12,1,2026-05-13T17:03:17.972784,onos,ring,4,ring,100M,39855.13,0.074,0.0,1.0,0.013,17.58,787.6,23.49,1.0,0.6495,0.9802,0.9307,onos,0.0946,hybrid_p95,CONTROLLER
13,1,2026-05-13T17:05:10.078956,ryu,mesh,4,mesh,25M,30937.0,0.107,0.0,1.0,0.016,0.47,35.22,16.75,0.5816,0.8789,0.9858,0.6726,floodlight,0.0298,hybrid_p95,CONTROLLER
14,1,2026-05-13T17:07:04.512182,floodlight,mesh,4,mesh,25M,27937.16,0.088,0.0,1.0,0.008,31.13,418.1,15.67,0.91,0.5684,0.9868,0.8504,floodlight,0.0298,hybrid_p95,CONTROLLER
15,1,2026-05-13T17:09:37.446744,onos,mesh,4,mesh,25M,38463.47,0.095,0.0,1.0,0.023,28.52,764.44,23.8,0.8696,0.5683,0.9798,0.8206,floodlight,0.0298,hybrid_p95,CONTROLLER
