sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
4,1,2026-05-07T15:18:45.111,ryu,Tree_D2_F2_50M,2,tree,50M,42.5,22.15,0.05,0.992,4.5,15.2,155.4,35.2,0.821,0.842,0.812,0.8241,floodlight,0.0215,hybrid_p95,CONTROLLER
5,1,2026-05-07T15:21:55.222,floodlight,Tree_D2_F2_50M,2,tree,50M,48.2,20.12,0.01,0.999,2.8,20.5,295.1,34.1,0.895,0.755,0.865,0.8456,floodlight,0.0215,hybrid_p95,CONTROLLER
6,1,2026-05-07T15:25:10.333,onos,Tree_D2_F2_50M,2,tree,50M,47.8,38.54,0.005,1.0,4.2,48.5,880.4,58.2,0.782,0.445,0.785,0.7124,floodlight,0.0215,hybrid_p95,CONTROLLER
10,1,2026-05-07T15:38:05.777,ryu,Mesh_4nodes_10M,4,mesh,10M,8.9,32.45,0.15,0.982,3.4,15.5,158.4,48.2,0.785,0.825,0.754,0.7842,onos,0.0421,hybrid_p95,CONTROLLER
11,1,2026-05-07T15:41:20.888,floodlight,Mesh_4nodes_10M,4,mesh,10M,9.1,29.12,0.1,0.988,2.8,22.1,310.2,52.1,0.842,0.732,0.795,0.8124,onos,0.0421,hybrid_p95,CONTROLLER
12,1,2026-05-07T15:44:35.999,onos,Mesh_4nodes_10M,4,mesh,10M,9.8,28.15,0.002,1.0,2.5,52.4,920.8,78.2,0.915,0.432,0.842,0.8263,onos,0.0421,hybrid_p95,CONTROLLER
13,1,2026-05-07T15:47:50.123,ryu,Ring_4nodes_10M,4,ring,10M,8.5,45.12,0.52,0.945,12.5,16.2,152.1,55.1,0.685,0.835,0.625,0.7092,floodlight,0.0521,hybrid_p95,CONTROLLER
14,1,2026-05-07T15:51:05.234,floodlight,Ring_4nodes_10M,4,ring,10M,9.2,35.24,0.12,0.985,8.1,22.1,310.5,52.4,0.795,0.742,0.725,0.7613,floodlight,0.0521,hybrid_p95,CONTROLLER
15,1,2026-05-07T15:54:20.345,onos,Ring_4nodes_10M,4,ring,10M,9.4,38.55,0.08,0.991,7.2,55.1,950.4,85.4,0.812,0.415,0.762,0.7315,floodlight,0.0521,hybrid_p95,CONTROLLER
16,1,2026-05-07T16:00:01.123,ryu,Star_16nodes_1G,16,star,1G,850.2,35.42,0.15,0.982,5.2,22.4,185.4,62.1,0.854,0.812,0.785,0.8354,onos,0.0621,hybrid_p95,CONTROLLER
17,1,2026-05-07T16:03:15.432,floodlight,Star_16nodes_1G,16,star,1G,890.5,30.12,0.08,0.991,4.1,35.2,380.1,58.4,0.892,0.715,0.824,0.8422,onos,0.0621,hybrid_p95,CONTROLLER
18,1,2026-05-07T16:06:30.987,onos,Star_16nodes_1G,16,star,1G,945.2,22.15,0.01,0.999,2.8,65.4,980.5,82.1,0.945,0.385,0.885,0.8975,onos,0.0621,hybrid_p95,CONTROLLER
19,1,2026-05-07T16:10:45.111,ryu,Tree_D3_F2_1G,4,tree,1G,780.4,45.21,0.45,0.952,8.4,25.1,192.5,75.2,0.782,0.805,0.685,0.7724,floodlight,0.0412,hybrid_p95,CONTROLLER
20,1,2026-05-07T16:13:55.222,floodlight,Tree_D3_F2_1G,4,tree,1G,845.1,38.12,0.12,0.985,6.2,32.4,410.2,68.4,0.845,0.724,0.742,0.8136,floodlight,0.0412,hybrid_p95,CONTROLLER
21,1,2026-05-07T16:17:10.333,onos,Tree_D3_F2_1G,4,tree,1G,820.5,42.54,0.05,0.995,5.1,62.1,1024.5,95.1,0.812,0.365,0.795,0.7254,floodlight,0.0412,hybrid_p95,CONTROLLER
25,1,2026-05-07T16:30:05.777,ryu,Mesh_8nodes_50M,8,mesh,50M,42.1,48.52,0.55,0.942,6.2,18.2,165.4,85.2,0.654,0.815,0.712,0.7125,onos,0.1124,hybrid_p95,CONTROLLER
26,1,2026-05-07T16:33:20.888,floodlight,Mesh_8nodes_50M,8,mesh,50M,44.2,45.12,0.25,0.972,5.5,28.4,350.2,88.4,0.725,0.712,0.742,0.7284,onos,0.1124,hybrid_p95,CONTROLLER
27,1,2026-05-07T16:36:35.999,onos,Mesh_8nodes_50M,8,mesh,50M,46.5,42.15,0.02,0.998,5.4,72.1,1150.2,120.4,0.885,0.312,0.765,0.8249,onos,0.1124,hybrid_p95,CONTROLLER
28,1,2026-05-07T16:40:50.123,ryu,Ring_16nodes_80M,16,ring,80M,65.2,85.12,2.54,0.745,22.1,30.5,225.4,135.2,0.524,0.765,0.412,0.5421,floodlight,0.0954,hybrid_p95,CONTROLLER
29,1,2026-05-07T16:44:05.234,floodlight,Ring_16nodes_80M,16,ring,80M,72.1,68.24,1.15,0.885,14.2,42.1,480.5,120.4,0.685,0.654,0.542,0.6375,floodlight,0.0954,hybrid_p95,CONTROLLER
30,1,2026-05-07T16:47:20.345,onos,Ring_16nodes_80M,16,ring,80M,68.4,72.15,1.85,0.815,18.5,75.2,1250.4,165.2,0.612,0.285,0.512,0.5214,floodlight,0.0954,hybrid_p95,CONTROLLER
