sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-05-06T09:08:41.827949,ryu,Star_4nodes_10M,4,star,10M,18268.42,0.098,0.0,1.0,0.08,0.17,33.3,30.92,1.0,0.8829,0.973,0.9752,ryu,0.0602,hybrid_p95,CONTROLLER
2,1,2026-05-06T09:10:07.223621,floodlight,Star_4nodes_10M,4,star,10M,18063.43,0.086,0.0,1.0,0.089,31.69,308.2,38.99,1.0,0.5742,0.9662,0.915,ryu,0.0602,hybrid_p95,CONTROLLER
3,1,2026-05-06T09:12:36.575110,onos,Star_4nodes_10M,4,star,10M,18555.67,4.4,0.0,1.0,14.721,35.72,803.42,43.91,1.0,0.5126,0.7426,0.8846,ryu,0.0602,hybrid_p95,CONTROLLER
4,1,2026-05-06T09:14:00.547775,ryu,Tree_D2_F2_50M,2,tree,50M,17241.31,0.141,0.0,1.0,0.177,0.57,33.58,28.52,1.0,0.8796,0.9736,0.9746,ryu,0.1023,hybrid_p95,CONTROLLER
5,1,2026-05-06T09:15:26.856062,floodlight,Tree_D2_F2_50M,2,tree,50M,16705.35,0.105,0.0,1.0,0.122,60.13,388.32,38.61,1.0,0.353,0.966,0.8723,ryu,0.1023,hybrid_p95,CONTROLLER
6,1,2026-05-06T09:17:57.097762,onos,Tree_D2_F2_50M,2,tree,50M,17126.09,5.084,0.0,1.0,18.393,67.91,778.92,43.08,1.0,0.2718,0.6882,0.8336,ryu,0.1023,hybrid_p95,CONTROLLER
7,1,2026-05-06T09:19:20.726300,ryu,Linear_4nodes_10M,4,linear,10M,18253.8,0.106,0.0,1.0,0.071,0.45,33.44,35.77,1.0,0.8807,0.9691,0.9744,ryu,0.0635,hybrid_p95,CONTROLLER
8,1,2026-05-06T09:20:46.585756,floodlight,Linear_4nodes_10M,4,linear,10M,17562.93,0.097,0.0,1.0,0.102,33.78,349.62,42.83,1.0,0.5544,0.9628,0.9109,ryu,0.0635,hybrid_p95,CONTROLLER
9,1,2026-05-06T09:23:16.903908,onos,Linear_4nodes_10M,4,linear,10M,17653.37,4.081,0.0,1.0,14.788,48.2,681.8,46.29,1.0,0.4242,0.7396,0.8673,ryu,0.0635,hybrid_p95,CONTROLLER
10,1,2026-05-06T09:29:16.449742,ryu,Mesh_4nodes_10M,4,mesh,10M,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.276,onos,0.0206,NONE,STANDALONE
11,1,2026-05-06T09:30:41.880813,floodlight,Mesh_4nodes_10M,4,mesh,10M,43026.28,0.101,0.0,1.0,0.153,38.57,383.56,56.69,1.0,0.5154,0.9505,0.9024,onos,0.0206,hybrid_p95,CONTROLLER
12,1,2026-05-06T09:33:10.941171,onos,Mesh_4nodes_10M,4,mesh,10M,46419.04,2.12,0.0,1.0,7.402,13.77,941.32,66.09,1.0,0.6722,0.8339,0.923,onos,0.0206,hybrid_p95,CONTROLLER
13,1,2026-05-06T09:39:09.320145,ryu,Ring_4nodes_10M,4,ring,10M,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.276,onos,0.0031,NONE,STANDALONE
14,1,2026-05-06T09:40:34.560271,floodlight,Ring_4nodes_10M,4,ring,10M,44844.29,0.083,0.0,1.0,0.088,33.6,402.31,50.06,1.0,0.5511,0.957,0.9098,onos,0.0031,hybrid_p95,CONTROLLER
15,1,2026-05-06T09:43:03.107152,onos,Ring_4nodes_10M,4,ring,10M,45435.71,2.492,0.0,1.0,8.844,20.06,946.74,53.84,1.0,0.6248,0.8225,0.9129,onos,0.0031,hybrid_p95,CONTROLLER
