sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-05-20T11:11:24.942827,ryu,Linear_4n_10M,4,linear,10M,47362.81,0.07,0.0,1.0,0.003,0.26,45.59,21.32,0.6394,0.8722,0.9822,0.7128,floodlight,0.1184,hybrid_p95,CONTROLLER
2,1,2026-05-20T11:12:54.408014,floodlight,Linear_4n_10M,4,linear,10M,43769.95,0.058,0,1.0,0.004,44.94,354.21,19.21,0.91,0.4701,0.9839,0.8312,floodlight,0.1184,hybrid_p95,CONTROLLER
3,1,2026-05-20T11:15:25.550982,onos,Linear_4n_10M,4,linear,10M,47646.96,0.069,0.0,1.0,0.005,10.58,759.97,22.48,0.6755,0.7032,0.9812,0.7062,floodlight,0.1184,hybrid_p95,CONTROLLER
4,1,2026-05-20T11:16:47.947894,ryu,Linear_4n_30M,4,linear,30M,47164.46,0.068,0.0,1.0,0.004,0.22,33.41,22.61,0.7977,0.8824,0.9811,0.8293,floodlight,0.0066,hybrid_p95,CONTROLLER
5,1,2026-05-20T11:18:17.417650,floodlight,Linear_4n_30M,4,linear,30M,45183.93,0.064,0,1.0,0.006,41.53,364.94,20.21,0.91,0.4947,0.9831,0.8359,floodlight,0.0066,hybrid_p95,CONTROLLER
6,1,2026-05-20T11:20:49.122544,onos,Linear_4n_30M,4,linear,30M,46321.67,0.071,0.0,1.0,0.01,23.99,774.83,15.81,0.6077,0.6019,0.9867,0.638,floodlight,0.0066,hybrid_p95,CONTROLLER
7,1,2026-05-20T11:22:11.508954,ryu,Linear_4n_60M,4,linear,60M,46934.84,0.068,0.0,1.0,0.002,0.3,33.43,21.06,0.7179,0.8818,0.9824,0.7715,floodlight,0.0684,hybrid_p95,CONTROLLER
8,1,2026-05-20T11:23:41.016974,floodlight,Linear_4n_60M,4,linear,60M,44986.33,0.062,0,1.0,0.004,39.09,369.01,12.88,0.91,0.5127,0.9892,0.8399,floodlight,0.0684,hybrid_p95,CONTROLLER
9,1,2026-05-20T11:26:12.781618,onos,Linear_4n_60M,4,linear,60M,47375.12,0.07,0.0,1.0,0.006,11.53,751.0,13.9,0.646,0.6965,0.9883,0.6842,floodlight,0.0684,hybrid_p95,CONTROLLER
10,1,2026-05-20T11:27:35.142615,ryu,Linear_4n_150M,4,linear,150M,47221.23,0.073,0.0,1.0,0.008,0.22,33.44,22.61,0.6195,0.8824,0.981,0.7002,floodlight,0.0095,hybrid_p95,CONTROLLER
11,1,2026-05-20T11:29:04.578689,floodlight,Linear_4n_150M,4,linear,150M,44958.71,0.063,0,1.0,0.006,35.41,357.5,20.55,0.91,0.5414,0.9828,0.8449,floodlight,0.0095,hybrid_p95,CONTROLLER
12,1,2026-05-20T11:31:36.489660,onos,Linear_4n_150M,4,linear,150M,48165.67,0.067,0.0,1.0,0.012,12.72,826.5,17.17,0.8584,0.6844,0.9855,0.8354,floodlight,0.0095,hybrid_p95,CONTROLLER
13,1,2026-05-20T11:32:58.889642,ryu,Linear_4n_300M,4,linear,300M,46350.77,0.069,0.0,1.0,0.008,0.21,33.43,12.37,0.6913,0.8825,0.9896,0.753,floodlight,0.0959,hybrid_p95,CONTROLLER
14,1,2026-05-20T11:34:28.403960,floodlight,Linear_4n_300M,4,linear,300M,44253.41,0.06,0,1.0,0.004,32.72,359.6,18.45,0.91,0.5614,0.9846,0.8489,floodlight,0.0959,hybrid_p95,CONTROLLER
15,1,2026-05-20T11:37:00.303898,onos,Linear_4n_300M,4,linear,300M,46914.89,0.071,0.0,1.0,0.007,20.18,751.1,22.85,0.646,0.6315,0.9809,0.671,floodlight,0.0959,hybrid_p95,CONTROLLER
16,1,2026-05-20T11:38:22.705371,ryu,Linear_5n_10M,5,linear,10M,47739.72,0.071,0.0,1.0,0.005,0.44,33.41,22.15,0.7168,0.8808,0.9815,0.7704,floodlight,0.0579,hybrid_p95,CONTROLLER
17,1,2026-05-20T11:39:52.264132,floodlight,Linear_5n_10M,5,linear,10M,45328.1,0.059,0,1.0,0.005,46.77,358.1,22.74,0.91,0.456,0.981,0.8283,floodlight,0.0579,hybrid_p95,CONTROLLER
18,1,2026-05-20T11:42:24.115039,onos,Linear_5n_10M,5,linear,10M,46973.77,0.074,0.0,1.0,0.004,15.3,791.34,22.16,0.6174,0.6664,0.9815,0.6571,floodlight,0.0579,hybrid_p95,CONTROLLER
19,1,2026-05-20T11:43:46.571907,ryu,Linear_5n_30M,5,linear,30M,47464.89,0.07,0.0,1.0,0.004,0.21,33.42,22.59,0.7764,0.8825,0.9811,0.8139,floodlight,0.0246,hybrid_p95,CONTROLLER
20,1,2026-05-20T11:45:16.101218,floodlight,Linear_5n_30M,5,linear,30M,45191.0,0.058,0,1.0,0.006,40.25,343.52,14.75,0.91,0.5063,0.9876,0.8385,floodlight,0.0246,hybrid_p95,CONTROLLER
21,1,2026-05-20T11:47:47.722433,onos,Linear_5n_30M,5,linear,30M,47045.64,0.077,0.0,1.0,0.009,17.6,729.3,18.6,0.6294,0.6518,0.9844,0.6632,floodlight,0.0246,hybrid_p95,CONTROLLER
22,1,2026-05-20T11:49:10.057880,ryu,Linear_5n_60M,5,linear,60M,47932.04,0.069,0.0,1.0,0.007,0.17,33.41,18.86,0.6755,0.8828,0.9842,0.7411,floodlight,0.0924,hybrid_p95,CONTROLLER
23,1,2026-05-20T11:50:39.567770,floodlight,Linear_5n_60M,5,linear,60M,45772.26,0.058,0,1.0,0.011,43.39,352.9,19.3,0.91,0.4819,0.9838,0.8335,floodlight,0.0924,hybrid_p95,CONTROLLER
24,1,2026-05-20T11:53:11.595958,onos,Linear_5n_60M,5,linear,60M,46833.91,0.07,0.0,1.0,0.003,17.78,778.14,26.72,0.6002,0.6484,0.9777,0.6409,floodlight,0.0924,hybrid_p95,CONTROLLER
25,1,2026-05-20T11:54:33.993824,ryu,Linear_5n_150M,5,linear,150M,47762.38,0.068,0.0,1.0,0.006,0.17,33.42,21.85,0.9213,0.8828,0.9817,0.9189,ryu,0.0807,hybrid_p95,CONTROLLER
26,1,2026-05-20T11:56:03.452932,floodlight,Linear_5n_150M,5,linear,150M,45108.11,0.066,0,1.0,0.008,39.79,377.31,20.73,0.91,0.5067,0.9826,0.8382,ryu,0.0807,hybrid_p95,CONTROLLER
27,1,2026-05-20T11:58:35.341794,onos,Linear_5n_150M,5,linear,150M,46930.37,0.075,0.0,1.0,0.007,16.44,836.2,20.42,0.6178,0.6561,0.9829,0.6555,ryu,0.0807,hybrid_p95,CONTROLLER
28,1,2026-05-20T11:59:57.792701,ryu,Linear_5n_300M,5,linear,300M,47033.88,0.074,0.0,1.0,0.006,0.27,33.42,21.45,0.646,0.882,0.982,0.7194,floodlight,0.0045,hybrid_p95,CONTROLLER
29,1,2026-05-20T12:01:27.245686,floodlight,Linear_5n_300M,5,linear,300M,45461.78,0.065,0,1.0,0.007,47.23,359.3,18.62,0.91,0.4525,0.9844,0.8279,floodlight,0.0045,hybrid_p95,CONTROLLER
30,1,2026-05-20T12:03:59.120614,onos,Linear_5n_300M,5,linear,300M,46966.67,0.069,0.0,1.0,0.008,11.01,827.6,21.42,0.8388,0.6972,0.982,0.8234,floodlight,0.0045,hybrid_p95,CONTROLLER
31,1,2026-05-20T12:05:21.899233,ryu,Linear_6n_10M,6,linear,10M,45220.88,0.071,0.0,1.0,0.013,0.53,33.61,22.73,0.7876,0.8799,0.9809,0.8215,ryu,0.0009,hybrid_p95,CONTROLLER
32,1,2026-05-20T12:06:51.859968,floodlight,Linear_6n_10M,6,linear,10M,43058.39,0.065,0,1.0,0.006,51.79,388.01,21.39,0.91,0.4157,0.9821,0.8206,ryu,0.0009,hybrid_p95,CONTROLLER
