sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-05-13T15:46:22.545191,ryu,star,8,star,5M,49851.75,0.066,0.0,1.0,0.005,0.07,33.32,12.93,1.0,0.8836,0.9891,0.9766,ryu,0.0304,hybrid_p95,CONTROLLER
2,1,2026-05-13T15:47:46.940117,floodlight,star,8,star,5M,47833.46,0.056,0.0,1.0,0.004,31.55,333.01,15.11,1.0,0.5727,0.9873,0.9165,ryu,0.0304,hybrid_p95,CONTROLLER
3,1,2026-05-13T15:50:18.247937,onos,star,8,star,5M,49007.31,0.067,0.0,1.0,0.006,7.27,735.0,22.02,1.0,0.7292,0.9816,0.9462,ryu,0.0304,hybrid_p95,CONTROLLER
4,1,2026-05-13T15:51:40.654220,ryu,linear_4n_50M,4,linear,50M,46078.91,0.072,0.0,1.0,0.008,0.36,33.41,21.55,1.0,0.8814,0.9819,0.9756,ryu,0.0423,hybrid_p95,CONTROLLER
5,1,2026-05-13T15:53:10.185736,floodlight,linear_4n_50M,4,linear,50M,45219.24,0.057,0,1.0,0.006,33.55,365.91,17.92,1.0,0.5546,0.985,0.9128,ryu,0.0423,hybrid_p95,CONTROLLER
6,1,2026-05-13T15:55:41.619602,onos,linear_4n_50M,4,linear,50M,46022.58,0.069,0.0,1.0,0.006,16.32,733.93,19.57,1.0,0.6612,0.9836,0.9333,ryu,0.0423,hybrid_p95,CONTROLLER
7,1,2026-05-13T15:57:05.721203,ryu,tree,16,tree,60M,44257.9,0.077,0.0,0.994,0.006,1.61,34.19,15.04,0.9967,0.8713,0.9874,0.9717,ryu,0.0408,hybrid_p95,CONTROLLER
8,1,2026-05-13T15:58:47.425943,floodlight,tree,16,tree,60M,31909.21,0.065,0,0.994,0.009,54.15,401.01,16.48,0.9967,0.3969,0.9861,0.88,ryu,0.0408,hybrid_p95,CONTROLLER
9,1,2026-05-13T16:01:20.757929,onos,tree,16,tree,60M,43973.3,0.08,0.0,0.994,0.008,15.47,854.75,22.51,0.9967,0.6626,0.9811,0.9309,ryu,0.0408,hybrid_p95,CONTROLLER
10,1,2026-05-13T16:03:32.656708,ryu,ring,4,ring,100M,44996.08,0.081,0.0,1.0,0.006,0.44,35.43,19.63,1.0,0.8789,0.9836,0.9753,ryu,0.0549,hybrid_p95,CONTROLLER
11,1,2026-05-13T16:05:26.787794,floodlight,ring,4,ring,100M,41564.86,0.065,0.0,1.0,0.006,32.87,411.5,20.7,1.0,0.5559,0.9827,0.9128,ryu,0.0549,hybrid_p95,CONTROLLER
12,1,2026-05-13T16:07:59.544889,onos,ring,4,ring,100M,46946.34,0.078,0.0,1.0,0.01,24.44,858.24,21.38,1.0,0.5951,0.982,0.9204,ryu,0.0549,hybrid_p95,CONTROLLER
13,1,2026-05-13T16:09:51.503791,ryu,mesh,4,mesh,25M,32406.21,0.092,0.0,1.0,0.011,0.5,35.21,19.6,1.0,0.8787,0.9835,0.9752,ryu,0.0401,hybrid_p95,CONTROLLER
14,1,2026-05-13T16:11:45.759097,floodlight,mesh,4,mesh,25M,31729.74,0.085,0.0,1.0,0.011,46.61,421.66,18.97,1.0,0.4519,0.984,0.8929,ryu,0.0401,hybrid_p95,CONTROLLER
15,1,2026-05-13T16:14:18.260506,onos,mesh,4,mesh,25M,46023.4,0.072,0.0,1.0,0.004,14.24,836.84,24.41,1.0,0.6726,0.9796,0.9351,ryu,0.0401,hybrid_p95,CONTROLLER
